word,r_score,category
wild angelica,0.2275368571281433,object
wild calla,0.18274497985839844,object
wild spurge,0.16155660152435303,object
wild teasel,0.13218837976455688,object
wild hollyhock,0.12764829397201538,object
wild ginger,0.12315285205841064,object
wild senna,0.1081053614616394,object
wild yam,0.10340118408203125,object
wild carrot,0.09632837772369385,object
wild pea,0.09165394306182861,object
wild hyacinth,0.08002609014511108,object
wild rosemary,0.07802826166152954,object
wild buckwheat,0.07695293426513672,object
wild sage,0.07235801219940186,object
acacia,0.0664857029914856,object
turks-cap,0.06446409225463867,object
wild tamarind,0.060733258724212646,object
wild lupine,0.060229599475860596,object
arisarum,0.058584392070770264,object
wild plum,0.05697757005691528,object
blackwall hitch,0.056629300117492676,object
wild licorice,0.05625033378601074,object
balalaika,0.055727362632751465,object
manila tamarind,0.05511540174484253,object
penny arcade,0.05454307794570923,object
chrysopsis,0.053868651390075684,object
copula,0.051920950412750244,object
figment,0.05128103494644165,object
cote,0.04784363508224487,object
peach pit,0.04702574014663696,object
kurrajong,0.04610520601272583,object
wild raspberry,0.04506981372833252,object
mulberry,0.04497361183166504,object
scarlet runner,0.04450881481170654,object
tragus,0.044012486934661865,object
onrush,0.04313790798187256,object
tupelo,0.04178202152252197,object
virginia crownbeard,0.041381776332855225,object
piassava palm,0.04124248027801514,object
wild medlar,0.040373146533966064,object
mantua,0.039897918701171875,object
cork tree,0.03985816240310669,object
galangal,0.03929769992828369,object
manzanita,0.039190828800201416,object
lister,0.039163172245025635,object
lumbago,0.03839200735092163,object
wild geranium,0.037746310234069824,object
orinasal phone,0.03633171319961548,object
gentianella,0.03609120845794678,object
mitral stenosis,0.035138726234436035,object
schizaea,0.03459608554840088,object
bum view,0.034538328647613525,object
enchondroma,0.03425180912017822,object
ceratostomella,0.034221112728118896,object
rayon,0.033445537090301514,object
dodonaea,0.03339505195617676,object
wild leek,0.03305107355117798,object
leiomyosarcoma,0.032709479331970215,object
lymphedema,0.03259289264678955,object
dipper,0.03237104415893555,object
keratoconus,0.03236132860183716,object
chrysophyllum,0.03224813938140869,object
osteochondroma,0.03197979927062988,object
myrtaceae,0.03182941675186157,object
kohleria,0.031440138816833496,object
adenanthera,0.03129589557647705,object
senegal gum,0.031291306018829346,object
chrysolepis,0.030688762664794922,object
chrysoprase,0.030669748783111572,object
quaver,0.030664145946502686,object
pitahaya cactus,0.0306357741355896,object
alveolar rhabdomyosarcoma,0.030448436737060547,object
chrysolite,0.030051231384277344,object
wild basil,0.03004002571105957,object
pump room,0.029616713523864746,object
tremella,0.029433012008666992,object
navy cross,0.029262781143188477,object
wild china tree,0.0290948748588562,object
vesuvianite,0.029071927070617676,object
piperaceae,0.02882528305053711,object
wild sarsaparilla,0.02872622013092041,object
cape aloe,0.028236746788024902,object
cinnamomum,0.028128743171691895,object
neurofibroma,0.027910888195037842,object
chlorosis,0.027886509895324707,object
trabecula,0.02759164571762085,object
rhyolite,0.027287662029266357,object
cocobolo,0.02728193998336792,object
barium enema,0.027281105518341064,object
cystoid macular edema,0.027126789093017578,object
vestibular vein,0.02693498134613037,object
angiosarcoma,0.02663445472717285,object
eleocharis,0.02657318115234375,object
frogbit,0.026491403579711914,object
chinook,0.026453375816345215,object
prunella,0.02624678611755371,object
eustoma,0.026224613189697266,object
chrysoberyl,0.026138126850128174,object
umbellularia,0.025489389896392822,object
mickey finn,0.02544081211090088,object
cape tulip,0.02531576156616211,object
geastraceae,0.02487128973007202,object
neurofibromatosis,0.02455317974090576,object
anguilla,0.02454352378845215,object
vanilla orchid,0.024427175521850586,object
podophyllum,0.024253785610198975,object
latissimus dorsi,0.024141788482666016,object
prairie mimosa,0.02412623167037964,object
wild onion,0.023955702781677246,object
mistletoe cactus,0.023910343647003174,object
scarecrow,0.023659706115722656,object
chaffy place,0.02364635467529297,object
endometrial carcinoma,0.023560404777526855,object
wild parsnip,0.023518264293670654,object
intervertebral vein,0.02350616455078125,object
rhizophora,0.02341020107269287,object
chlorpyrifos,0.02335333824157715,object
laryngostenosis,0.023261845111846924,object
vestibular apparatus,0.023220419883728027,object
manila hemp,0.02320575714111328,object
hyperboloid,0.02306652069091797,object
bermuda cedar,0.022926270961761475,object
desert mariposa tulip,0.022777020931243896,object
urubupunga,0.022681057453155518,object
kaposis sarcoma,0.02261531352996826,object
retinoblastoma,0.022271931171417236,object
tremella reticulata,0.021949827671051025,object
sarsaparilla root,0.021946310997009277,object
dahlia,0.021807968616485596,object
chorizema,0.02167874574661255,object
bath asparagus,0.02159273624420166,object
clavicipitaceae,0.021541953086853027,object
crabwise vista,0.02142810821533203,object
water fennel,0.021392226219177246,object
angioedema,0.02129584550857544,object
temporal arteritis,0.02122420072555542,object
silver willow,0.02113497257232666,object
mitral valve,0.020983755588531494,object
wankel engine,0.020686626434326172,object
cephalhematoma,0.0206754207611084,object
syllepsis,0.020631015300750732,object
pteridophyta,0.020595669746398926,object
crookes tube,0.020497679710388184,object
snuffers,0.020254671573638916,object
pseudotsuga,0.02005946636199951,object
paphiopedilum,0.019914746284484863,object
kahikatea,0.019878089427947998,object
retromandibular vein,0.01980280876159668,object
indivisible item,0.019666433334350586,object
acetabulum,0.01955413818359375,object
wild red oat,0.019521892070770264,object
azo dye,0.019464433193206787,object
solomons-seal,0.01934891939163208,object
halfpenny,0.019312918186187744,object
stream orchid,0.01929861307144165,object
dendrocalamus,0.019271492958068848,object
basivertebral vein,0.0191650390625,object
kylix,0.019071519374847412,object
bloodroot,0.01904970407485962,object
pseudotaxus,0.019041895866394043,object
dermoid cyst,0.018950343132019043,object
nephritis,0.018851041793823242,object
tremella foliacea,0.018800020217895508,object
sindhi,0.018727779388427734,object
cursed crowfoot,0.018670082092285156,object
harpulla,0.01854652166366577,object
felt fern,0.01852703094482422,object
ceratophyllum,0.01848137378692627,object
parietal gyrus,0.018454670906066895,object
pyxidanthera,0.01845461130142212,object
celastraceae,0.018430113792419434,object
manganese bronze,0.01841825246810913,object
gentiana,0.018304765224456787,object
barbados gooseberry,0.01828211545944214,object
orchidaceae,0.018264949321746826,object
wild hydrangea,0.018148303031921387,object
anterior vertebral vein,0.017958462238311768,object
trombiculiasis,0.017922282218933105,object
prairia sabbatia,0.017887353897094727,object
zantedeschia,0.01787489652633667,object
nabothian cyst,0.017834067344665527,object
mimosaceae,0.017769217491149902,object
