word,r_score
carina,0.233398
wild angelica,0.174316
wild hollyhock,0.169434
quaver,0.156250
carina fornicis,0.153320
ulex,0.151855
wild teasel,0.151367
vanda,0.145508
jade,0.141113
wild carrot,0.137695
wild calla,0.136230
dipper,0.134277
arum,0.132812
wild spurge,0.130859
zamia,0.127441
moon carrot,0.125977
disa,0.123535
nicandra,0.122559
amber lily,0.122070
star sapphire,0.121094
springer,0.120605
accord and satisfaction,0.119141
commelina,0.118164
inula,0.116699
caprice,0.115723
stream orchid,0.112305
wild yam,0.112305
wild ginger,0.111328
deadlight,0.110352
green arrow arum,0.109863
salsilla,0.109863
scarlet runner,0.109863
solomons-seal,0.108398
rowan,0.106934
goldenseal,0.106445
penny arcade,0.105469
wild hyacinth,0.104980
granville wilt,0.104492
aquamarine,0.104004
grewia,0.103516
laelia,0.103516
twayblade,0.102539
wild senna,0.102539
alyssum,0.101074
atriplex,0.101074
hoya,0.101074
wild plum,0.101074
armeria,0.100586
maranta,0.100098
black opal,0.099609
jonquil,0.099121
sand devils claw,0.099121
wild sage,0.098633
aranyaka,0.098145
marattiales,0.097656
navy cross,0.097168
rutile,0.097168
wild licorice,0.097168
wild tamarind,0.097168
sunstone,0.096680
wolfsbane,0.096680
sardonyx,0.095703
cassiope,0.095215
lamium,0.095215
tamarind,0.095215
kalmia,0.094727
geebung,0.094238
malva,0.093262
abyssal zone,0.092773
cursed crowfoot,0.092285
jawbreaker,0.092285
ochroma,0.091797
ophrys,0.091309
wild buckwheat,0.090820
zinnia,0.090820
indivisible item,0.090332
stellaria,0.089844
wild pea,0.089844
scilla,0.089355
ambergris,0.088867
scauper,0.088867
bloodroot,0.088379
wild rosemary,0.088379
sundew,0.087891
dumb cane,0.087402
vanilla orchid,0.087402
anthriscus,0.086914
bryony,0.086914
arbutus,0.086426
emerald,0.086426
hash house,0.085938
gentianella,0.085449
mayapple,0.084961
psychotria,0.084961
edelweiss,0.084473
impala lily,0.084473
nelumbo,0.084473
amberboa,0.083984
chinook,0.083984
levanter,0.083984
cayenne,0.083496
aerides,0.083008
peach pit,0.083008
rose moss,0.083008
allegro,0.082520
senna,0.082520
star tulip,0.082520
virginia crownbeard,0.082520
calanthe,0.082031
fiddleneck,0.082031
figwort,0.082031
mandrake,0.082031
purple apricot,0.082031
sweet alyssum,0.081055
alexandrine,0.080566
dropseed,0.080566
nopal,0.080566
taro,0.080566
toffee-nosed space,0.080566
stinky squid,0.080078
supersonic view,0.080078
alembic,0.079590
psychopsis,0.079590
spinacia,0.079590
wild onion,0.079590
bog rose,0.079102
killer t cell,0.079102
shard,0.079102
solandra,0.079102
calla,0.078613
candelilla,0.078613
giant taro,0.078613
azure aster,0.078125
calamint,0.078125
swan orchid,0.078125
blue lotus,0.077637
electrum,0.077637
juniper,0.077637
mustang mint,0.077637
cork tree,0.077148
cutlas,0.077148
fez,0.077148
gloxinia,0.077148
prunella,0.077148
abelia,0.076660
marang,0.076660
brimstone,0.076172
clethra,0.076172
crinkleroot,0.076172
mesquite,0.076172
orchis,0.076172
ajuga,0.075684
blackwall hitch,0.075684
bryum,0.075684
lyra,0.075684
wild lupine,0.075684
